Library,Link,Hyperlink,Libs
eli5,https://eli5.readthedocs.io/en/latest/,,"scikit-learn, XGBoost, LightGBM, CatBoost, Keras, sklearn-crfsuite, lightning"
pdpbox,https://pdpbox.readthedocs.io/en/latest/,,scikit-learn
shap,https://shap.readthedocs.io/en/latest/index.html,,"scikit-learn, XGBoost, LightGBM, CatBoost,Keras, tensorflow, pytorch, pyspark, transformers"
deeplift,https://github.com/kundajelab/deeplift,,Keras
SALib,https://salib.readthedocs.io/en/latest/index.html,,Keras
LIME,https://github.com/marcotcr/lime?ysclid=lde9mmnb1o897888624,,"scikit-learn, Keras, tensorflow, pytorch"
interpretML,https://interpret.ml/docs/intro.html,,scikit-learn
dice-ml ,https://interpret.ml/DiCE/dice_ml.html#,,"scikit-learn, Keras, tensorflow, pytorch"
interpret-text,https://github.com/interpretml/interpret-text?ysclid=ldebiwr4jr824513795,,"scikit-learn, pytorch"
treeinterpreter,https://github.com/andosa/treeinterpreter?ysclid=ldebcszqa569676653,,scikit-learn
graphviz-ML,https://github.com/MrColoratus/graphviz-ML?ysclid=lf6msa8oig976631200,,"scikit-learn, SciPy"
captum (with VPN),https://captum.ai/,,pytorch
skater (DOESN'T WORK 13.01.24) ,https://github.com/oracle/Skater?ysclid=ldimcqkpbg991351715,,"scikit-learn, XGBoost, Keras"
transformers-interpret,https://github.com/cdpierse/transformers-interpret?ysclid=ldooagvbpq193759438,,transformers
bertviz,https://github.com/jessevig/bertviz?ysclid=lf3tgglrjl425622230,,transformers
alibi,https://github.com/SeldonIO/alibi,,"scikit-learn, Keras, tensorflow, pytorch"
treeInterpreter,https://github.com/andosa/treeinterpreter,,scikit-learn
Explainer dashboard,https://explainerdashboard.readthedocs.io/en/latest/dashboards.html,,"scikit-learn, skorch"
Permutation Importance,https://permutationimportance.readthedocs.io/en/latest/index.html,,"scikit-learn, Keras"
Quantus,https://github.com/understandable-machine-intelligence-lab/Quantus,,"Keras, tensorflow, pytorch, transformers"
tf-explain,https://tf-explain.readthedocs.io/en/latest/,,tensorflow
zennit,https://github.com/chr5tphr/zennit,,pytorch
shapash,https://github.com/MAIF/shapash#how_shapash_works,,"scikit-learn, XGBoost, LightGBM, CatBoost"
AIX360,https://github.com/Trusted-AI/AIX360,,"scikit-learn, tensorflow"
OMNIXai,https://github.com/salesforce/OmniXAI,,"Keras, pytorch"
