,Library,Hyperlink,Framework,DataType
0,eli5,"<a href=""https://eli5.readthedocs.io/en/latest/"">🔗</a>","scikit-learn, XGBoost, LightGBM, CatBoost, Keras, sklearn-crfsuite, lightning","Texts, Images, Tabular, Graph"
1,pdpbox,"<a href=""https://pdpbox.readthedocs.io/en/latest/"">🔗</a>",scikit-learn,Tabular
2,shap,"<a href=""https://shap.readthedocs.io/en/latest/index.html"">🔗</a>","scikit-learn, XGBoost, LightGBM, CatBoost,Keras, tensorflow, pytorch, pyspark, transformers","Texts, Images, Tabular, Genomic"
3,deeplift,"<a href=""https://github.com/kundajelab/deeplift"">🔗</a>",Keras,"Texts, Images, Genomic"
4,SALib,"<a href=""https://salib.readthedocs.io/en/latest/index.html"">🔗</a>",Keras,Tabular
5,LIME,"<a href=""https://github.com/marcotcr/lime?ysclid=lde9mmnb1o897888624"">🔗</a>","scikit-learn, Keras, tensorflow, pytorch","Texts, Images, Tabular"
6,interpretML,"<a href=""https://interpret.ml/docs/intro.html"">🔗</a>",scikit-learn,Tabular
7,dice-ml,"<a href=""https://interpret.ml/DiCE/dice_ml.html#"">🔗</a>","scikit-learn, Keras, tensorflow, pytorch",Tabular
8,interpret-text,"<a href=""https://github.com/interpretml/interpret-text?ysclid=ldebiwr4jr824513795"">🔗</a>","scikit-learn, pytorch",Texts
9,treeinterpreter,"<a href=""https://github.com/andosa/treeinterpreter?ysclid=ldebcszqa569676653"">🔗</a>",scikit-learn,Tabular
10,graphviz-ML,"<a href=""https://github.com/MrColoratus/graphviz-ML?ysclid=lf6msa8oig976631200"">🔗</a>","scikit-learn, SciPy",Tabular
11,captum (with VPN),"<a href=""https://captum.ai/"">🔗</a>",pytorch,"Texts, Images, Tabular"
12,skater (DOESN'T WORK 13.01.24),"<a href=""https://github.com/oracle/Skater?ysclid=ldimcqkpbg991351715"">🔗</a>","scikit-learn, XGBoost, Keras","Texts, Images, Tabular"
13,transformers-interpret,"<a href=""https://github.com/cdpierse/transformers-interpret?ysclid=ldooagvbpq193759438"">🔗</a>",transformers,"Texts, Images"
14,bertviz,"<a href=""https://github.com/jessevig/bertviz?ysclid=lf3tgglrjl425622230"">🔗</a>",transformers,Texts
15,alibi,"<a href=""https://github.com/SeldonIO/alibi"">🔗</a>","scikit-learn, Keras, tensorflow, pytorch",Graph
16,treeInterpreter,"<a href=""https://github.com/andosa/treeinterpreter"">🔗</a>",scikit-learn,"Texts, Images, Tabular"
17,Explainer dashboard,"<a href=""https://explainerdashboard.readthedocs.io/en/latest/dashboards.html"">🔗</a>","scikit-learn, skorch","Texts, Images, Tabular"
18,Permutation Importance,"<a href=""https://permutationimportance.readthedocs.io/en/latest/index.html"">🔗</a>","scikit-learn, Keras","Texts, Tabular"
19,Quantus,"<a href=""https://github.com/understandable-machine-intelligence-lab/Quantus"">🔗</a>","Keras, tensorflow, pytorch, transformers","Images, Tabular"
20,tf-explain,"<a href=""https://tf-explain.readthedocs.io/en/latest/"">🔗</a>",tensorflow,"Texts, Images, Tabular"
21,zennit,"<a href=""https://github.com/chr5tphr/zennit"">🔗</a>",pytorch,"Texts, Images, Tabular"
22,shapash,"<a href=""https://github.com/MAIF/shapash#how_shapash_works"">🔗</a>","scikit-learn, XGBoost, LightGBM, CatBoost",Tabular
23,AIX360,"<a href=""https://github.com/Trusted-AI/AIX360"">🔗</a>","scikit-learn, tensorflow","Texts, Images, Tabular"
24,OMNIXai,"<a href=""https://github.com/salesforce/OmniXAI"">🔗</a>","Keras, pytorch","Texts, Images, Tabular, Time Series"
25,saliency,"<a href=""https://github.com/pair-code/saliency"">🔗</a>","tensorflow, pytorch",Images
26,dalex,"<a href=""https://dalex.drwhy.ai/#api-reference"">🔗</a>","tensorflow, pytorch, keras, h2o, xgboost, autokeras, catboost, lightgbm, scikit-learn",Tabular
27,xaitk-saliency,"<a href=""https://github.com/XAITK/xaitk-saliency"">🔗</a>",pytorch,Images
28,CARLA,"<a href=""https://github.com/carla-recourse/CARLA"">🔗</a>","scikit-learn, Keras, tensorflow, pytorch, XGBoost",Tabular
29,"pyTorch, explain!","<a href=""https://github.com/pietrobarbiero/pytorch_explain"">🔗</a>",pytorch,Images
30,DALEX,"<a href=""https://github.com/ModelOriented/DALEX"">🔗</a>","scikit-learn, keras, H2O, tidymodels, xgboost",Tabular
31,anchors,"<a href=""https://github.com/marcotcr/anchor/tree/master"">🔗</a>","scikit-learn, pytorch","Tabular, Texts"
32,easy_explain ,"<a href=""https://github.com/stavrostheocharis/easy_explain/tree/main"">🔗</a>",pytorch,Images
33,explabox ,"<a href=""https://github.com/MarcelRobeer/explabox"">🔗</a>","scikit-learn, Keras, tensorflow, pytorch",Texts
34,xai_evals ,"<a href=""https://pypi.org/project/xai-evals/"">🔗</a>","pytorch, tensorflow, scikit-learn, xgboost","Images, Tabular"
